14392, 5397, 86, 25, 15202, 12566, 204, 120
14456, 14274, 134, 75, 14747, 11473, 40, 0
6032, 3565, 124, 120, 15093, 8379, 89, 25
10560, 14455, 34, 25, 15590, 12897, 135, 110
8644, 14456, 248, 80, 4029, 3737, 140, 100
3565, 12566, 152, 85, 10560, 14747, 67, 25
15093, 14392, 169, 65, 14455, 4029, 73, 55
11473, 15202, 62, 25, 12897, 6032, 122, 30
8644, 15590, 240, 110, 14274, 5397, 79, 55
3737, 12897, 108, 30, 8379, 14392, 199, 110
8644, 3565, 196, 95, 15202, 14456, 121, 75
11473, 3737, 116, 30, 12566, 15093, 125, 55
4029, 10560, 221, 95, 14274, 6032, 182, 120
5397, 8379, 160, 85, 14455, 14747, 37, 0
15590, 14392, 47, 10, 3565, 11473, 131, 55
12897, 15093, 228, 105, 14747, 8644, 239, 70
15202, 4029, 121, 65, 8379, 15590, 168, 100
14456, 3737, 161, 85, 10560, 5397, 15, 15
6032, 14455, 210, 95, 12566, 14274, 153, 70
11473, 8379, 112, 30, 8644, 10560, 227, 80
12566, 15590, 122, 60, 14456, 15093, 31, 0
14274, 14455, 192, 70, 3737, 15202, 150, 60
12897, 4029, 272, 150, 5397, 3565, 141, 70
14747, 6032, 115, 45, 14392, 8644, 324, 120
