13950, 9867, 190, 70, 11723, 0001, 200, 70
8644, 4029, 330, 125, 4410, 6040, 140, 110
14039, 10331, 275, 100, 5897, 3615, 114, 35
13620, 5436, 155, 70, 11100, 7245, 252, 120
9006, 10767, 254, 85, 13406, 0133, 150, 85
4096, 15089, 174, 95, 15092, 15202, 230, 135
3737, 14079, 128, 70, 8379, 5273, 72, 60
8227, 7571, 217, 85, 12589, 3565, 94, 30
14875, 6032, 177, 160, 11251, 9867, 357, 160
15092, 7245, 307, 145, 11723, 9006, 169, 70
14079, 3615, 150, 80, 0133, 15089, 166, 110
15202, 8644, 332, 135, 0001, 13406, 242, 135
13620, 4096, 150, 65, 3565, 10331, 165, 80
14875, 7571, 285, 160, 5897, 5273, 117, 40
5436, 4410, 297, 140, 6032, 8227, 79, 55
4029, 11100, 360, 140, 10767, 8379, 114, 45
13950, 11251, 152, 60, 12589, 6040, 270, 80
0133, 3737, 200, 70, 14039, 15202, 257, 135
14875, 0001, 122, 65, 14079, 4410, 237, 125
8379, 6032, 225, 135, 15089, 8644, 341, 120
12589, 5273, 321, 135, 13620, 4029, 215, 100
5897, 9006, 172, 105, 6040, 4096, 211, 95
7571, 14039, 250, 140, 5436, 15092, 309, 150
8227, 11100, 239, 135, 3615, 9867, 269, 80
10767, 11723, 135, 60, 10331, 11251, 115, 65
3565, 13406, 108, 85, 3737, 13950, 72, 55
7245, 6040, 260, 95, 14079, 14039, 325, 100
4410, 15089, 207, 85, 9006, 13620, 155, 55
0001, 0133, 253, 85, 10331, 8227, 201, 80
3615, 13950, 172, 70, 14875, 4096, 303, 120
5273, 15092, 133, 100, 11100, 8644, 360, 135
15202, 11723, 189, 60, 5436, 12589, 305, 100
10767, 3565, 183, 125, 6032, 7245, 315, 145
13406, 8379, 145, 85, 7571, 11251, 162, 90
9867, 5897, 242, 90, 3737, 4029, 205, 95
15089, 11100, 273, 135, 14039, 14875, 283, 160
5273, 0133, 117, 60, 4096, 6032, 235, 110
8644, 9006, 305, 125, 13950, 5436, 219, 75
6040, 8379, 113, 55, 11723, 13620, 67, 40
15092, 13406, 245, 125, 9867, 14079, 274, 110
4410, 3737, 174, 60, 7571, 10767, 191, 125
4029, 3565, 301, 120, 3615, 0001, 266, 120
11251, 15202, 246, 135, 8227, 5897, 116, 55
10331, 12589, 280, 105, 7245, 14875, 267, 75
